,Группа,title,Старая цена,Новая цена,Скидка,Металл,Вес,Ссылка,Брэнд
81,rings,"Кольцо с аметистами, бриллиантами, гранатами, рубином, сапфиром и цветными сапфирами",87900,52740,40,Золото 585,1.7 г.,https://miuz.ru/catalog/rings/R2017-R309842MUL/,miuz
82,rings,Кольцо,20719,14503,30,Золото 585,1.44 г.,https://miuz.ru/catalog/rings/R2020-AMA-0078/,miuz
83,rings,Кольцо с фианитами,2090,1881,10,Серебро 925,1.66 г.,https://miuz.ru/catalog/rings/R2031-94-110-01332-1/,miuz
84,rings,Кольцо с выращенным бриллиантом,2000,1300,35,Серебро 925,1.25 г.,https://miuz.ru/catalog/rings/R01-SCV-00168/,miuz
85,rings,Кольцо с бриллиантом,4500,2925,35,Серебро 925,2.04 г.,https://miuz.ru/catalog/rings/R01-SDI-34247/,miuz
86,rings,Кольцо,1990,1791,10,Серебро 925,2.32 г.,https://miuz.ru/catalog/rings/R2031-93-110-01622-1/,miuz
87,rings,Кольцо,27718,18017,35,Золото 585,1.98 г.,https://miuz.ru/catalog/rings/R37-4-T130613733/,miuz
88,rings,Кольцо,23378,15196,35,Золото 585,1.67 г.,https://miuz.ru/catalog/rings/R37-T100013844-5/,miuz
89,rings,Кольцо с фианитами,28698,20088,30,Золото 585,1.72 г.,https://miuz.ru/catalog/rings/R01-59991-Z/,miuz
90,rings,Кольцо с выращенным бриллиантом,499900,199960,60,Золото 585,5.62 г.,https://miuz.ru/catalog/rings/R01-MLN35912/,miuz
91,rings,Кольцо с фианитами,14167,9917,30,Золото 585,0.9 г.,https://miuz.ru/catalog/rings/R2028-K332-2510/,miuz
92,rings,Кольцо с бриллиантами,339900,203940,40,Золото 585,3.42 г.,https://miuz.ru/catalog/rings/R01-ICE-35838/,miuz
93,rings,Кольцо с выращенным бриллиантом,314900,125960,60,Золото 585,2.51 г.,https://miuz.ru/catalog/rings/R01-MLN0459OV/,miuz
94,rings,Кольцо,42271,29590,30,Золото 585,2.31 г.,https://miuz.ru/catalog/rings/R2040-VIT-0002-Y/,miuz
